排名,标题,分数,播放量,Up主,Up Id,URL
85,双雄9：我成了假的风归去？2700分大神居然遇了3700分大大神！,1246801,"
              43.6万
            ","
                水一大魔王
              ",1950209,//www.bilibili.com/video/BV1Jf4y1M7mt
86,干净又卫生！探访评分最高的印度餐厅，吃到上头，多少带点臭,1238616,"
              86.6万
            ","
                HOLA小测佬
              ",406636263,//www.bilibili.com/video/BV1WL4y1i7cF
87,当你在班上的希沃发现了先辈留下的遗产,1234820,"
              215.2万
            ","
                恋としろkoishiro
              ",401654598,//www.bilibili.com/video/BV1BM4y1A72U
88,网络热门爆款鉴定17,1232687,"
              167.4万
            ","
                韭菜实验室
              ",329519036,//www.bilibili.com/video/BV1RF411h7TU
89,试吃杭州23000条评论的火爆面馆！一碗103块，浇头竟堆成一座山……,1227993,"
              68.1万
            ","
                二喵的饭
              ",29329085,//www.bilibili.com/video/BV1DL411T7WH
90,大海退潮后，大庆赶海遇见石头一样的红色海葵，还有长腿八爪鱼,1225309,"
              96万
            ","
                大庆赶海
              ",524704055,//www.bilibili.com/video/BV1234y1d7KW
91,又是这两个男生，把一个普通学妹变成了天花板,1182069,"
              254.9万
            ","
                良田田田
              ",480959917,//www.bilibili.com/video/BV1ZY411x7nV
92,50块一个，这真的值吗？,1181085,"
              84.3万
            ","
                麟宣森
              ",52190805,//www.bilibili.com/video/BV1er4y1k71q
93,【特利迦奥特曼吐槽】黑特：我的人生只要这样躺着混日子就足够幸福了,1164128,"
              73万
            ","
                九冢嵬
              ",33729931,//www.bilibili.com/video/BV163411t7ut
94,俄 式 早 餐,1160019,"
              107.3万
            ","
                俄餐美学
              ",2077889889,//www.bilibili.com/video/BV1mq4y1u7ah
95,水，住进去~,1147911,"
              90.5万
            ","
                建筑姬Ling
              ",111927934,//www.bilibili.com/video/BV1Z34y1d7YL
96,51集三体影视化全集 330分钟超长大合集【科幻视界/三体电影】,1137095,"
              228.9万
            ","
                科幻视界
              ",25073738,//www.bilibili.com/video/BV17L411g7JQ
97,戏命师   时间刺客 · 太空海盗 · 烬， 限定！,1135049,"
              82万
            ","
                香菇滑鸡_
              ",28278455,//www.bilibili.com/video/BV1yq4y167H6
98,探访美国福特汽车餐厅，美国底层蓝领工人吃什么？400元硬核菜！！,1129327,"
              68.4万
            ","
                Meetfood觅食
              ",447317111,//www.bilibili.com/video/BV1GY41147tp
99,掉帧卡顿，折磨我电脑半年的恶心问题，竟是WIN10“快速启动”的BUG，玄学问题解决不了最好关闭这个试试，,1117632,"
              79.1万
            ","
                阿凯不想在犯Der了
              ",1162869071,//www.bilibili.com/video/BV1wU4y1u7y7
100,帅小伙想去兄弟家蹭吃蹭喝，反倒被拉去做了免费的劳动力！,1117578,"
              96.8万
            ","
                贤宝宝Baby
              ",3957971,//www.bilibili.com/video/BV1Th41147Bk
